date	open	close	low	high
2018-01-12 08:39:59 UTC	13600.0	13600.0	13600.0	13600.0
2018-01-12 08:44:59 UTC	13600.0	13650.0	13600.0	13650.0
2018-01-12 08:49:59 UTC	13650.01	13621.56	13621.56	13651.0
2018-01-12 08:54:59 UTC	13621.56	13639.61	13621.56	13642.53
2018-01-12 08:59:59 UTC	13639.01	13605.01	13605.01	13639.01
2018-01-12 09:04:59 UTC	13605.01	13561.06	13559.99	13605.01
2018-01-12 09:09:59 UTC	13577.52	13549.01	13549.01	13596.87
2018-01-12 09:14:59 UTC	13467.34	13400.12	13400.0	13467.34
2018-01-12 09:19:59 UTC	13400.12	13400.13	13387.34	13400.13
2018-01-12 09:24:59 UTC	13400.13	13498.98	13400.13	13498.98
2018-01-12 09:29:59 UTC	13499.0	13465.04	13465.04	13499.0
2018-01-12 09:34:59 UTC	13469.31	13470.74	13469.31	13470.74
2018-01-12 09:39:59 UTC	13500.0	13500.0	13500.0	13500.0
2018-01-12 09:44:59 UTC	13500.0	13500.0	13500.0	13500.0
2018-01-12 09:49:59 UTC	13500.0	13500.0	13500.0	13500.0
2018-01-12 09:54:59 UTC	13500.0	13548.64	13500.0	13548.64
2018-01-12 09:59:59 UTC	13549.55	13504.16	13504.16	13549.55
2018-01-12 10:04:59 UTC	13506.91	13550.01	13506.91	13550.01
2018-01-12 10:09:59 UTC	13550.01	13609.2	13550.01	13609.2
2018-01-12 10:14:59 UTC	13609.2	13651.69	13609.2	13651.69
2018-01-12 10:19:59 UTC	13670.73	13869.6	13670.73	13869.6
2018-01-12 10:24:59 UTC	13876.0	13918.38	13850.0	13918.38
2018-01-12 10:29:59 UTC	13918.38	13920.0	13897.36	13920.0
2018-01-12 10:34:59 UTC	13925.0	13900.0	13900.0	13925.0
2018-01-12 10:39:59 UTC	13895.01	13905.16	13895.01	13924.85
2018-01-12 10:44:59 UTC	13905.16	13797.82	13797.82	13905.16
2018-01-12 10:49:59 UTC	13844.99	13850.0	13844.99	13850.0
2018-01-12 12:34:59 UTC	13948.27	13985.25	13948.27	13985.25
2018-01-12 12:39:59 UTC	13987.0	13974.88	13964.84	13990.0
2018-01-12 12:44:59 UTC	13974.88	14000.0	13974.88	14000.0
2018-01-12 12:49:59 UTC	13974.89	14000.2	13959.59	14000.2
2018-01-12 12:54:59 UTC	14015.71	14054.46	14015.71	14054.46
2018-01-12 12:59:59 UTC	14053.32	14049.01	14025.0	14053.32
2018-01-12 13:04:59 UTC	14048.0	14020.53	14020.53	14055.66
2018-01-12 13:09:59 UTC	14020.53	14011.82	14011.82	14025.0
2018-01-12 13:14:59 UTC	14000.01	13999.5	13990.01	14000.01
2018-01-12 13:19:59 UTC	13990.77	13997.77	13990.77	13997.77
2018-01-12 13:24:59 UTC	13997.77	13997.77	13997.77	13997.77
2018-01-12 16:59:59 UTC	13590.0	13580.01	13580.01	13590.0
2018-01-12 17:04:59 UTC	13580.01	13560.01	13560.01	13580.01
2018-01-12 17:09:59 UTC	13560.01	13560.01	13560.01	13560.01
2018-01-12 17:14:59 UTC	13560.01	13540.01	13512.55	13560.01
2018-01-12 17:19:59 UTC	13512.55	13531.85	13471.23	13531.85
2018-01-12 17:24:59 UTC	13558.58	13579.01	13536.98	13579.01
2018-01-12 17:29:59 UTC	13579.01	13626.44	13579.01	13643.1
2018-01-12 17:34:59 UTC	13593.72	13627.6	13593.72	13627.6
2018-01-12 17:39:59 UTC	13627.6	13647.67	13627.6	13647.67
